NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
Class,Field,Name,Class,Field,Name,Name,Notes
net.minecraft.src.entity.TileEntityRenderer,*,field_1553_b,*,*,*,staticPlayerX,"The player's current X position (same as playerX)"
net.minecraft.src.Tessellator,*,field_1488_w,*,*,*,isDrawing,"Whether this tessellator is currently in draw mode."
net.minecraft.src.Tessellator,*,field_1489_v,*,*,*,normal,"The normal to be applied to the face being drawn."
net.minecraft.src.Tessellator,*,field_1486_y,*,*,*,vertexBuffers,"An IntBuffer used to store the indices of vertex buffer objects."
net.minecraft.src.Tessellator,*,field_1487_x,*,*,*,useVBO,"Whether we are currently using VBO or not."
net.minecraft.src.Tessellator,*,field_1485_z,*,*,*,vboIndex,"The index of the last VBO used. This is used in round-robin fashion, sequentially, through the vboCount vertex buffers."
net.minecraft.src.AxisAlignedBB,*,field_1697_b,*,*,*,minY,"*"
net.minecraft.src.block.World,*,field_1026_y,*,*,*,multiplayerWorld,"Set to true if this is a multiplayer world, false otherwise."
net.minecraft.src.entity.EntityCreature,*,field_749_a,*,*,*,pathToEntity,"*"
net.minecraft.client.Minecraft,*,field_6284_Q,*,*,*,downloadResourcesThread,"Reference to the download resources thread."
net.minecraft.client.Minecraft,*,field_6287_N,*,*,*,systemTime,""
net.minecraft.client.Minecraft,*,field_6286_O,*,*,*,glCapabilities,"Checks OpenGL capabilities (as of 1.2.3_04 effectively unused)."
net.minecraft.client.Minecraft,*,field_6283_R,*,*,*,ticksRan,"Number of ticks ran since the program was started."
net.minecraft.client.Minecraft,*,field_6288_M,*,*,*,isFancyGraphics,""
net.minecraft.src.block.BlockLeavesBase,*,field_6359_a,*,*,*,graphicsLevel,"Used to determine how to display leaves based on the graphics level. May also be used in rendering for transparency, not sure."
net.minecraft.src.Block,*,field_345_n,*,*,*,blocksList,"List of ly/ff (BlockType) containing the already registered blocks."
net.minecraft.src.Block,*,field_344_o,*,*,*,tickOnLoad,"List of whether this blockType will run its tick on loading or not"
net.minecraft.src.Block,*,field_343_p,*,*,*,opaqueCubeLookup,"An array of 256 booleans corresponding to the result of the isOpaqueCube() method for each block ID"
net.minecraft.src.Block,*,field_342_q,*,*,*,isBlockContainer,"Can this block be type casted to a net.minecraft.src.block.BlockContainer (list indexed on blockIDs)"
net.minecraft.src.Block,*,field_341_r,*,*,*,lightOpacity,"How much light is subtracted for going through this block"
net.minecraft.src.Block,*,field_340_s,*,*,*,unusedBooleanArray,"*"
net.minecraft.src.packet.Packet21PickupSpawn,*,field_529_c,*,*,*,yPosition,"The item Y position."
net.minecraft.src.packet.Packet21PickupSpawn,*,field_528_d,*,*,*,zPosition,"The item Z position."
net.minecraft.src.packet.Packet21PickupSpawn,*,field_523_i,*,*,*,count,"The number of items."
net.minecraft.src.packet.Packet18ArmAnimation,*,field_522_a,*,*,*,entityId,"The entity ID, in this case it's the player ID."
net.minecraft.src.packet.Packet18ArmAnimation,*,field_521_b,*,*,*,animate,"*"
net.minecraft.src.packet.Packet1Login,*,field_520_c,*,*,*,password,"Used to login to password-protected servers."
net.minecraft.src.packet.Packet21PickupSpawn,*,field_527_e,*,*,*,rotation,"The item rotation."
net.minecraft.src.packet.Packet21PickupSpawn,*,field_526_f,*,*,*,pitch,"The item pitch."
net.minecraft.src.packet.Packet21PickupSpawn,*,field_525_g,*,*,*,roll,"The item roll."
net.minecraft.src.packet.Packet21PickupSpawn,*,field_524_h,*,*,*,itemId,"The item ID."
net.minecraft.src.Tessellator,*,field_1510_c,*,*,*,tryVBO,"Boolean used to check if we should use vertex buffers. Initialized to false and never changed."
net.minecraft.src.item.Item,*,field_4031_aC,*,*,*,boat,"*"
net.minecraft.src.MusInputStream,*,field_1516_c,*,*,*,hash,"*"
SlotInventory,*,field_1121_e,*,*,*,xPos,"Left border of the slot in pixel from the left border of the window."
SlotInventory,*,field_1120_f,*,*,*,yPos,"Upper border of the slot in pixel from the upper border of the window."
SlotInventory,*,field_1122_c,*,*,*,guiHandler,"Instance of ee used to handle all gui interactions."
net.minecraft.src.item.Item,*,field_239_V,*,*,*,legsLeather,"*"
net.minecraft.src.item.Item,*,field_238_W,*,*,*,bootsLeather,"*"
net.minecraft.src.item.Item,*,field_237_X,*,*,*,helmetChain,"*"
net.minecraft.src.item.Item,*,field_236_Y,*,*,*,plateChain,"*"
net.minecraft.src.item.Item,*,field_235_Z,*,*,*,legsChain,"*"
net.minecraft.src.item.Item,*,field_233_c,*,*,*,itemsList,"A 32000 elements net.minecraft.src.item.Item array."
net.minecraft.src.item.Item,*,field_232_d,*,*,*,shovelSteel,"*"
net.minecraft.src.item.Item,*,field_231_e,*,*,*,pickaxeSteel,"*"
net.minecraft.src.item.Item,*,field_230_f,*,*,*,axeSteel,"*"
net.minecraft.src.helpers.ClippingHelperImplementation,*,field_1694_e,*,*,*,instance,"*"
net.minecraft.src.crafting.InventoryCrafting,*,field_839_b,*,*,*,nbrSlots,"Number of crafting slots."
net.minecraft.src.inventory.InventoryLargeChest,*,field_838_c,*,*,*,lowerChest,"Inventory object corresponding to double chest lower part"
net.minecraft.src.entity.TileEntityFurnace,*,field_833_a,*,*,*,furnaceItemStacks,"The ItemStacks that hold the items currently being used in the furnace"
net.minecraft.src.entity.TileEntityFurnace,*,field_832_b,*,*,*,furnaceBurnTime,"The number of ticks that the furnace will keep burning"
net.minecraft.src.entity.TileEntityFurnace,*,field_835_c,*,*,*,currentItemBurnTime,"The number of ticks that a fresh copy of the currently-burning item would keep the furnace burning for"
net.minecraft.src.entity.TileEntityFurnace,*,field_834_d,*,*,*,furnaceCookTime,"The number of ticks that the current item has been cooking for"
net.minecraft.src.inventory.InventoryLargeChest,*,field_837_a,*,*,*,name,"Name of the chest."
net.minecraft.src.inventory.InventoryLargeChest,*,field_836_b,*,*,*,upperChest,"Inventory object corresponding to double chest upper part"
net.minecraft.src.datatype.MovingObjectPosition,*,field_1169_f,*,*,*,hitVec,"The vector position of the hit"
net.minecraft.src.datatype.MovingObjectPosition,*,field_1168_g,*,*,*,entityHit,"The hit entity"
net.minecraft.src.datatype.MovingObjectPosition,*,field_1167_a,*,*,*,typeOfHit,"What type of ray trace hit was this? 0 = block, 1 = entity"
net.minecraft.src.datatype.MovingObjectPosition,*,field_1166_b,*,*,*,blockX,"x coordinate of the block ray traced against"
net.minecraft.src.ScreenShotHelper,*,field_4289_c,*,*,*,pixelData,"*"
net.minecraft.src.ScreenShotHelper,*,field_4288_d,*,*,*,imageData,"*"
net.minecraft.src.ScreenShotHelper,*,field_4287_a,*,*,*,dateFormat,"*"
net.minecraft.src.ScreenShotHelper,*,field_4286_b,*,*,*,buffer,"*"
RenderEngine,*,field_4281_i,*,*,*,clampTexture,"Flag set when a texture should not be repeated"
RenderEngine,*,field_4280_j,*,*,*,blurTexture,"Flag set when a texture should use blurry resizing"
net.minecraft.src.threading.ThreadDownloadResources,*,field_1769_c,*,*,*,closing,"Set to true when net.minecraft.client.Minecraft is closing down."
net.minecraft.src.threading.ThreadDownloadResources,*,field_1768_a,*,*,*,resourcesFolder,"The folder to store the resources in."
net.minecraft.src.world.WorldRenderer,*,field_1763_a,*,*,*,worldObj,"Reference to the net.minecraft.src.block.World object."
net.minecraft.src.world.WorldRenderer,*,field_1762_b,*,*,*,chunksUpdated,""
net.minecraft.src.world.WorldRenderer,*,field_1761_c,*,*,*,posX,""
net.minecraft.src.world.WorldRenderer,*,field_1760_d,*,*,*,posY,""
net.minecraft.src.threading.ThreadDownloadResources,*,field_1767_b,*,*,*,mc,"A reference to the net.minecraft.client.Minecraft object."
net.minecraft.src.PathEntity,*,field_1766_c,*,*,*,pathIndex,"The index of the current point in the path"
net.minecraft.src.PathEntity,*,field_1765_a,*,*,*,pathLength,"The total length of the path"
net.minecraft.src.PathEntity,*,field_1764_b,*,*,*,points,"The actual points in the path"
net.minecraft.src.Timer,*,field_1380_a,*,*,*,ticksPerSecond,"The number of timer ticks per second of real time"
net.minecraft.src.rendering.EntityRenderer,*,field_1383_m,*,*,*,random,""
net.minecraft.src.rendering.EntityRenderer,*,field_1387_i,*,*,*,farPlaneDistance,""
net.minecraft.src.rendering.EntityRenderer,*,field_1388_h,*,*,*,mc,"A reference to the net.minecraft.client.Minecraft object."
net.minecraft.src.RedstoneUpdateInfo,*,field_1011_c,*,*,*,z,"*"
net.minecraft.src.RedstoneUpdateInfo,*,field_1010_d,*,*,*,updateTime,"*"
net.minecraft.src.entity.TileEntityRenderer,*,field_1541_n,*,*,*,fontRenderer,"The net.minecraft.src.rendering.FontRenderer instance used by the net.minecraft.src.entity.TileEntityRenderer"
net.minecraft.src.entity.TileEntityRenderer,*,field_1547_h,*,*,*,playerYaw,"The player's yaw in this rendering context"
net.minecraft.src.entity.TileEntityRenderer,*,field_1546_i,*,*,*,playerPitch,"The player's pitch in this rendering context"
net.minecraft.src.block.World,*,field_1017_H,*,*,*,chunkProvider,"Handles chunk operations and caching"
net.minecraft.src.block.World,*,field_1016_I,*,*,*,nbtCompoundPlayer,"Reference to the player object as NBT compound"
net.minecraft.src.Block,*,field_4069_aI,*,*,*,stairCompactCobblestone,"*"
net.minecraft.src.Block,*,field_4068_aJ,*,*,*,signWall,"*"
net.minecraft.src.Tessellator,*,field_1499_n,*,*,*,hasNormals,"Whether the current draw object for this tessellator has normal values."
net.minecraft.src.Tessellator,*,field_1498_o,*,*,*,rawBufferIndex,"The index into the raw buffer to be used for the next data."
net.minecraft.src.Tessellator,*,field_1495_q,*,*,*,isColorDisabled,"Disables all color information for the following draw call."
net.minecraft.src.Tessellator,*,field_1494_B,*,*,*,bufferSize,"The size of the buffers used (in integers)."
net.minecraft.src.Tessellator,*,field_1497_p,*,*,*,addedVertices,"The number of vertices manually added to the given draw call. This differs from vertexCount because it adds extra vertices when converting quads to triangles."
net.minecraft.src.Tessellator,*,field_1496_A,*,*,*,vboCount,"Number of vertex buffer objects allocated for use."
net.minecraft.src.Tessellator,*,field_1491_t,*,*,*,yOffset,"An offset to be applied along the y-axis for all vertices in this draw call."
net.minecraft.src.Tessellator,*,field_1490_u,*,*,*,zOffset,"An offset to be applied along the z-axis for all vertices in this draw call."
net.minecraft.src.Tessellator,*,field_1493_r,*,*,*,drawMode,"The draw mode currently being used by the tessellator."
net.minecraft.src.Tessellator,*,field_1492_s,*,*,*,xOffset,"An offset to be applied along the x-axis for all vertices in this draw call."
net.minecraft.src.entity.EntityChicken,*,field_754_i,*,*,*,timeUntilNextEgg,"The time until the next egg is spawned."
net.minecraft.src.entity.EntityCreature,*,field_750_g,*,*,*,hasAttacked,"returns true if a creature has attacked recently only used for creepers and skeletons"
net.minecraft.src.entity.EntityCreature,*,field_751_f,*,*,*,playerToAttack,"The Player this net.minecraft.src.entity.EntityCreature will attack next."
net.minecraft.src.entity.EntityPig,*,field_759_a,*,*,*,rideable,"Set to true if this pig has a saddle, false otherwise."
net.minecraft.src.packet.Packet14BlockDig,*,field_545_c,*,*,*,zPosition,"net.minecraft.src.Block Z position."
net.minecraft.src.packet.Packet14BlockDig,*,field_544_d,*,*,*,face,"Punched face of the block."
net.minecraft.src.packet.Packet24MobSpawn,*,field_547_a,*,*,*,entityId,"The entity ID."
net.minecraft.src.packet.Packet24MobSpawn,*,field_546_b,*,*,*,type,"The type of mob."
net.minecraft.src.Block,*,field_358_bl,*,*,*,stepSound,"Sound of stepping on the block"
net.minecraft.src.Block,*,field_354_e,*,*,*,soundPowderFootstep,"*"
net.minecraft.src.Block,*,field_355_bo,*,*,*,slipperiness,"Determines how much velocity is maintained while moving on top of this block"
net.minecraft.src.Block,*,field_356_bn,*,*,*,blockMaterial,"net.minecraft.src.Block material definition."
net.minecraft.src.entity.EntityArrow,*,field_688_a,*,*,*,arrowShake,"Seems to be some sort of timer for animating an arrow."
net.minecraft.src.entity.EntityTNTPrimed,*,field_689_a,*,*,*,fuse,"How long the fuse is"
net.minecraft.src.entity.EntityFish,*,field_6380_t,*,*,*,velocityZ,"*"
net.minecraft.src.entity.EntityFish,*,field_6381_s,*,*,*,velocityY,"*"
net.minecraft.src.entity.EntityFish,*,field_6382_r,*,*,*,velocityX,"*"
net.minecraft.src.packet.Packet20NamedEntitySpawn,*,field_538_e,*,*,*,zPosition,"The player's Z position."
net.minecraft.src.packet.Packet20NamedEntitySpawn,*,field_539_d,*,*,*,yPosition,"The player's Y position."
net.minecraft.src.gui.GuiSlider,*,field_944_i,*,*,*,sliderValue,"The value of this slider control."
net.minecraft.src.packet.Packet20NamedEntitySpawn,*,field_534_a,*,*,*,entityId,"The entity ID, in this case it's the player ID."
net.minecraft.src.packet.Packet20NamedEntitySpawn,*,field_535_h,*,*,*,currentItem,"The current item the player is holding."
net.minecraft.src.packet.Packet20NamedEntitySpawn,*,field_536_g,*,*,*,pitch,"The player's pitch."
net.minecraft.src.packet.Packet20NamedEntitySpawn,*,field_537_f,*,*,*,rotation,"The player's rotation."
net.minecraft.src.packet.Packet21PickupSpawn,*,field_530_b,*,*,*,xPosition,"The item X position."
net.minecraft.src.packet.Packet21PickupSpawn,*,field_531_a,*,*,*,entityId,"Unique entity ID."
net.minecraft.src.packet.Packet2Handshake,*,field_532_a,*,*,*,username,"The username of the player attempting to connect."
net.minecraft.src.packet.Packet20NamedEntitySpawn,*,field_533_b,*,*,*,name,"The player's name."
net.minecraft.src.gui.GuiSlider,*,field_942_l,*,*,*,idFloat,"Additional ID for this slider control."
net.minecraft.src.item.Item,*,field_220_p,*,*,*,swordWood,"*"
net.minecraft.src.item.Item,*,field_221_o,*,*,*,swordSteel,"*"
net.minecraft.src.item.Item,*,field_222_n,*,*,*,ingotGold,"*"
net.minecraft.src.item.Item,*,field_223_m,*,*,*,ingotIron,"*"
net.minecraft.src.item.Item,*,field_224_l,*,*,*,diamond,"*"
net.minecraft.src.item.Item,*,field_225_k,*,*,*,coal,"*"
net.minecraft.src.item.Item,*,field_226_j,*,*,*,arrow,"*"
net.minecraft.src.item.Item,*,field_227_i,*,*,*,bow,"*"
net.minecraft.src.item.Item,*,field_228_h,*,*,*,appleRed,"*"
net.minecraft.src.entity.TileEntityMobSpawner,*,field_828_b,*,*,*,entityID,""
net.minecraft.src.entity.TileEntityMobSpawner,*,field_829_a,*,*,*,delay,"The stored delay before a new spawn."
net.minecraft.src.gui.GuiMainMenu,*,field_6463_h,*,*,*,rand,"The RNG used by the Main Menu Screen."
net.minecraft.src.entity.TileEntity,*,field_822_g,*,*,*,yCoord,"The y coordinate of the tile entity."
net.minecraft.src.entity.TileEntity,*,field_823_f,*,*,*,xCoord,"The x coordinate of the tile entity."
net.minecraft.src.entity.TileEntity,*,field_820_a,*,*,*,nameToClassMap,"A HashMap storing string names of classes mapping to the actual java.lang.Class type."
net.minecraft.src.entity.TileEntity,*,field_821_h,*,*,*,zCoord,"The z coordinate of the tile entity."
net.minecraft.src.entity.TileEntitySign,*,field_826_a,*,*,*,signText,"An array of four strings storing the lines of text on the sign."
net.minecraft.src.entity.TileEntityChest,*,field_827_a,*,*,*,chestContents,"*"
net.minecraft.src.entity.TileEntity,*,field_824_e,*,*,*,worldObj,"The reference to the world."
net.minecraft.src.entity.TileEntitySign,*,field_825_b,*,*,*,lineBeingEdited,"The index of the line currently being edited. Only used on client side, but defined on both. Note this is only really used when the > < are going to be visible."
net.minecraft.src.gui.GuiMainMenu,*,field_6462_l,*,*,*,splashText,"The splash message."
net.minecraft.src.crafting.CraftingInventoryWorkbenchCB,*,field_1622_a,*,*,*,craftMatrix,"The crafting matrix inventory (3x3)."
net.minecraft.src.crafting.CraftingInventoryPlayerCB,*,field_1620_a,*,*,*,craftMatrix,"The crafting matrix inventory."
net.minecraft.src.crafting.CraftingInventoryWorkbenchCB,*,field_1621_b,*,*,*,craftResult,"The crafting result, size 1."
net.minecraft.src.texture.TextureWaterFX,*,field_1154_k,*,*,*,tickCounter,"*"
net.minecraft.src.MinecartTrackLogic,*,field_1159_b,*,*,*,worldObj,"Reference to the net.minecraft.src.block.World object."
net.minecraft.src.enums.EnumCreatureType,*,field_4277_d,*,*,*,maxNumberOfEntityType,"For animals/mobs, the maximum number of mobs of that type that will spawn."
net.minecraft.src.PathPoint,*,field_1718_a,*,*,*,xCoord,"The x coordinate of this point"
net.minecraft.src.PathPoint,*,field_1716_c,*,*,*,zCoord,"The z coordinate of this point"
net.minecraft.src.PathPoint,*,field_1717_b,*,*,*,yCoord,"The y coordinate of this point"
net.minecraft.src.PathPoint,*,field_1714_e,*,*,*,index,"The index of this point in its assigned path"
net.minecraft.src.PathPoint,*,field_1715_d,*,*,*,hash,"A hash of the coordinates used to identify this point"
net.minecraft.src.PathPoint,*,field_1712_g,*,*,*,distanceToNext,"The linear distance to the next point"
net.minecraft.src.PathPoint,*,field_1713_f,*,*,*,totalPathDistance,"The distance along the path to this point"
net.minecraft.src.PathPoint,*,field_1710_i,*,*,*,previous,"The point preceding this in its assigned path"
net.minecraft.src.PathPoint,*,field_1711_h,*,*,*,distanceToTarget,"The distance to the target"
net.minecraft.src.world.chunk.Chunk,*,field_1536_e,*,*,*,data,"net.minecraft.src.world.chunk.Chunk data"
net.minecraft.src.item.Item,*,field_4017_ap,*,*,*,porkCooked,"*"
net.minecraft.src.world.chunk.Chunk,*,field_1534_g,*,*,*,blocklightMap,"Light map for blocks. See class le (client) or eo (server)."
