NEW CLASS SPREAD SHEET WITH CROSSVERSION MATCHING
"If you find errors on this sheet, plz put what it should be in the comments column. Don't edit the cell directly. Thx !"
,CLIENT,CLIENT,SERVER,SERVER,Comments
net.minecraft.src.crafting.CraftingInventoryWorkbenchCB,fl,fm,*,*,"Callbacks for the workbench. Drop items on the ground when closed, check for recipies when changed."
net.minecraft.src.crafting.CraftingManager,el,em,*,*,Allotment of recipes
net.minecraft.src.crafting.CraftingRecipe,cd,cd,*,*,A parsed crafting recipe description
net.minecraft.src.rendering.EffectRenderer,by,by,*,*,*
net.minecraft.src.entity.Entity,lr,lu,dw,dx,"Base class and manager for entities (everything that moves freely, like mobs, players, animals, ...)"
net.minecraft.src.entity.EntityAnimals,ak,ak,ax,ax,Base class for animals
net.minecraft.src.entity.EntityArrow,lq,lt,dv,dw,net.minecraft.src.entity.Entity Arrow
net.minecraft.src.entity.EntityBoat,dn,do,fi,fk,Boat
net.minecraft.src.entity.EntityBubbleFX,bh,bh,*,*,Effect for bubbles
net.minecraft.src.entity.EntityChicken,op,os,if,ig,Animal chicken
net.minecraft.src.entity.EntityClientPlayerMP,mk,mn,*,*,Player entity for multiplayer mode (the player who is actually playing on that client)
net.minecraft.src.entity.EntityCow,as,as,be,bf,Animal cow
net.minecraft.src.entity.EntityCreature,fb,fb,hb,hd,Base class for creatures (animals and mobs)
net.minecraft.src.entity.EntityCreeper,do,dp,fk,fm,Mob creeper
net.minecraft.src.entity.EntityDiggingFX,ke,kh,*,*,Effect for digging and breaking blocks
net.minecraft.src.entity.EntityExplodeFX,ec,ed,*,*,Effect for explosion
net.minecraft.src.entity.EntityFallingSand,fy,ga,hy,ib,Sand falling from gravity
net.minecraft.src.entity.EntityFireball,az,az,bo,bp,Ghast fireball
net.minecraft.src.entity.EntityFish,hg,hi,kb,ke,*
net.minecraft.src.entity.EntityFlameFX,kk,kn,*,*,Effect for flame
net.minecraft.src.entity.EntityFlying,oo,or,hv,hy,net.minecraft.src.entity.EntityFlying
net.minecraft.src.entity.EntityFX,pk,pn,*,*,Base class for effects
net.minecraft.src.entity.EntityGhast,am,am,az,ba,net.minecraft.src.entity.EntityGhast
net.minecraft.src.entity.EntityItem,em,en,gh,gj,net.minecraft.src.item.Item (used for almost anything that can be dropped and collected)
net.minecraft.src.entity.EntityLavaFX,cz,da,*,*,Effect for lava
net.minecraft.src.entity.EntityList,fo,fp,hl,hn,*
net.minecraft.src.entity.EntityLiving,hc,he,jv,jy,"Base class for living beings (animals, mobs, players)"
net.minecraft.src.entity.EntityMinecart,py,qb,jj,jm,net.minecraft.src.entity.Entity minecart
net.minecraft.src.entity.EntityMobs,ed,ee,fz,gb,Base class for mobs
net.minecraft.src.entity.EntityOtherPlayerMP,pn,pq,*,*,Player entity for multiplayer mode (other players who are on the same server)
net.minecraft.src.entity.EntityPainting,kl,ko,cg,ch,net.minecraft.src.entity.Entity Painting
net.minecraft.src.entity.EntityPickupFX,cl,cl,*,*,Effect for picking up items
net.minecraft.src.entity.EntityPig,ok,on,hp,hs,Animal pig
net.minecraft.src.entity.EntityPigZombie,po,pr,iv,iy,EntityZombiePigman
net.minecraft.src.entity.EntityPlayer,dz,ea,fv,fx,Base class for player entity types
EntityPlayerMP,*,*,ep,er,Player entity for multiplayer mode (server class for all players)
net.minecraft.src.entity.EntityPlayerSP,bq,bq,*,*,Player entity for single player mode
net.minecraft.src.entity.EntityPortalFX,ja,jc,*,*,*
net.minecraft.src.entity.EntityRainFX,ox,pa,*,*,Effect for raindrops on the ground
net.minecraft.src.entity.EntityReddustFX,ff,fg,*,*,Effect for redstone
net.minecraft.src.rendering.EntityRenderer,jx,ka,*,*,*
net.minecraft.src.entity.EntitySheep,bw,bw,ct,cu,Animal sheep
net.minecraft.src.entity.EntitySkeleton,df,dg,ez,fb,Mob skeleton
net.minecraft.src.entity.EntitySlime,nn,nq,gb,gd,Mob slime
net.minecraft.src.entity.EntitySlimeFX,jk,jn,*,*,Effect for slime and snowballpoof
net.minecraft.src.entity.EntitySmokeFX,pd,pg,*,*,Effect for smoke and large smoke
net.minecraft.src.entity.EntitySnowball,at,at,bf,bg,Snowball
net.minecraft.src.entity.EntitySorter,fu,fw,*,*,*
net.minecraft.src.entity.EntitySpider,be,be,bu,bv,Mob spider
net.minecraft.src.entity.EntitySplashFX,ma,md,*,*,Effect for splash
net.minecraft.src.entity.EntityTNTPrimed,kn,kq,ci,cj,net.minecraft.src.entity.Entity Primed TNT
EntityTracker,*,*,gr,gt,*
EntityTrackerEntry,*,*,gs,gu,*
net.minecraft.src.entity.EntityZombie,no,nr,gg,gi,Mob zombie
net.minecraft.src.entity.EntityZombieSimple,im,io,t,t,Mob Zombie (Simple)
net.minecraft.src.enums.EnumArt,fj,fk,he,hg,enum of art types
net.minecraft.src.enums.EnumCreatureType,gv,gx,jn,jq,*
net.minecraft.src.enums.EnumMobType,lb,le,dc,dd,"enum with everything, mobs and player"
net.minecraft.src.enums.EnumOS1,ft,fv,*,*,enum with operating system types
net.minecraft.src.enums.EnumOS2,jl,jo,*,*,enum with operating system types
net.minecraft.src.enums.EnumOSMappingHelper,gl,gn,*,*,*
net.minecraft.src.enums.EnumSkyBlock,cg,cg,dk,dl,enum with sky and block
net.minecraft.src.Explosion,ko,kr,ch,ci,*
net.minecraft.src.rendering.FontRenderer,ln,lq,*,*,*
net.minecraft.src.camera.Frustrum,lv,ly,*,*,*
net.minecraft.src.GameSettings,gn,gp,*,*,*
net.minecraft.src.GameWindowListener,gk,gm,*,*,*
net.minecraft.src.opengl.GLAllocation,dq,dr,*,*,Used to allocate gl lists and textures
net.minecraft.src.gui.Gui,mw,mz,*,*,Base class for all gui screens and overlays
net.minecraft.src.gui.GuiButton,ge,gg,*,*,Normal size button
net.minecraft.src.gui.GuiChat,dp,dq,*,*,*
net.minecraft.src.gui.GuiChest,ep,eq,*,*,*
net.minecraft.src.gui.GuiConflictWarning,kd,kg,*,*,*
net.minecraft.src.gui.GuiConnectFailed,cr,cs,*,*,*
net.minecraft.src.gui.GuiConnecting,ob,oe,*,*,*
net.minecraft.src.gui.GuiContainer,ev,ew,*,*,"All gui screen for containers like inventory, chest, ..."
net.minecraft.src.gui.GuiControls,nh,nk,*,*,*
net.minecraft.src.gui.GuiCrafting,iz,jb,*,*,*
net.minecraft.src.gui.GuiDeleteWorld,je,jg,*,*,*
net.minecraft.src.gui.GuiDownloadTerrain,ds,dt,*,*,*
net.minecraft.src.gui.GuiEditSign,pq,pt,*,*,*
net.minecraft.src.gui.GuiFurnace,jg,ji,*,*,*
net.minecraft.src.gui.GuiGameOver,bb,bb,*,*,*
net.minecraft.src.gui.GuiIngame,ng,nj,*,*,All overlays of the game while playing
net.minecraft.src.gui.GuiIngameMenu,jh,jk,*,*,*
net.minecraft.src.gui.GuiInventory,mz,nc,*,*,*
GuiLogFormatter,*,*,gv,gx,*
GuiLogOutputHandler,*,*,da,db,*
net.minecraft.src.gui.GuiMainMenu,dh,di,*,*,*
net.minecraft.src.gui.GuiMultiplayer,ha,hc,*,*,*
net.minecraft.src.gui.GuiOptions,bf,bf,*,*,*
net.minecraft.src.gui.GuiScreen,bp,bp,*,*,Base class for all gui screens
net.minecraft.src.gui.GuiSelectWorld,kz,lc,*,*,*
net.minecraft.src.gui.GuiSlider,oc,of,*,*,Slider like the ones for volume in options
net.minecraft.src.gui.GuiSmallButton,r,r,*,*,Smaller button
GuiStatsComponent,*,*,iy,jb,*
GuiStatsListener,*,*,jw,jz,*
net.minecraft.src.gui.GuiTexturePacks,di,dj,*,*,*
net.minecraft.src.gui.GuiUnused,ay,ay,*,*,Seems to be unused
net.minecraft.src.gui.GuiYesNo,kj,km,*,*,*
net.minecraft.src.HashEntry,om,op,hr,hu,A linked list element for the hash table
HashEntry2,*,*,cf,cg,*
IAnimals,*,*,af,af,Interface for animals (empty interface)
net.minecraft.src.IBlockAccess,pf,pi,iq,it,Interface with methods to access (read) single blocks in the world or in caches
net.minecraft.src.camera.ICamera,qa,qd,*,*,*
net.minecraft.src.world.chunk.IChunkLoader,ai,ai,av,av,Interface for chunk loaders
net.minecraft.src.world.chunk.IChunkProvider,bd,bd,bt,bu,Interface for chunk providers
ICommandListener,*,*,eu,ew,*
net.minecraft.src.inventory.IInventory,hf,hh,jz,kc,Interface for all kinds of inventories
net.minecraft.src.opengl.buffer.ImageBuffer,ib,id,*,*,*
net.minecraft.src.opengl.buffer.ImageBufferDownload,la,ld,*,*,*
net.minecraft.src.IMobs,cx,cy,en,ep,Interface for mobs (empty interface)
net.minecraft.src.crafting.InventoryCrafting,hu,hw,*,*,*
net.minecraft.src.crafting.InventoryCraftResult,ol,oo,*,*,*
net.minecraft.src.inventory.InventoryLargeChest,iu,iw,am,am,*
net.minecraft.src.inventory.InventoryPlayer,fm,fn,hg,hi,*
net.minecraft.src.IProgressUpdate,pp,ps,ix,ja,*
net.minecraft.src.IsoImageBuffer,ks,kv,*,*,Used in iso-listener and has imagebuffer references
IsomPreviewApplet,IsomPreviewApplet,*,*,*,*
net.minecraft.src.item.Item,dv,dw,fs,fu,Base class and manager for item types
net.minecraft.src.item.ItemArmor,oe,oh,hh,hj,net.minecraft.src.item.Item type used for all kinds of armor
net.minecraft.src.item.ItemAxe,mb,me,eh,ej,*
net.minecraft.src.item.ItemBlock,bc,bc,bs,bt,*
net.minecraft.src.item.ItemBoat,nr,nu,gl,gn,*
net.minecraft.src.item.ItemBow,kp,ks,cl,cm,*
net.minecraft.src.item.ItemBucket,ag,ag,au,au,*
net.minecraft.src.item.ItemDoor,es,et,gu,gw,*
net.minecraft.src.item.ItemFishingRod,bj,bj,cb,cc,*
net.minecraft.src.item.ItemFlintAndSteel,pr,pu,iz,jc,*
net.minecraft.src.item.ItemFood,qf,qi,ka,kd,Used for all food items and as a base for soup
net.minecraft.src.item.ItemHoe,gq,gs,jb,je,*
ItemInWorldManager,*,*,jq,jt,*
net.minecraft.src.item.ItemMinecart,kx,la,cw,cx,*
net.minecraft.src.item.ItemPainting,pz,qc,jm,jp,*
net.minecraft.src.item.ItemPickaxe,ac,ac,aq,aq,*
net.minecraft.src.item.ItemRecord,mr,mu,fh,fj,*
net.minecraft.src.item.ItemRedstone,ew,ex,gy,ha,*
net.minecraft.src.item.ItemReed,he,hg,jx,ka,*
net.minecraft.src.item.ItemRenderer,kq,kt,*,*,*
net.minecraft.src.item.ItemSaddle,lf,li,di,dj,*
net.minecraft.src.item.ItemSeeds,kw,kz,cu,cv,*
net.minecraft.src.item.ItemSign,nq,nt,gj,gl,*
net.minecraft.src.item.ItemSnowball,bx,bx,cv,cw,*
net.minecraft.src.item.ItemSoup,au,au,bj,bk,*
net.minecraft.src.item.ItemSpade,og,oj,hk,hm,*
net.minecraft.src.item.ItemStack,fn,fo,hj,hl,"Deals with inventory item stacks, spawns new stacks etc."
net.minecraft.src.item.ItemSword,kc,kf,br,bs,*
net.minecraft.src.item.ItemTool,ca,ca,db,dc,*
IUpdatePlayerListBox,*,*,ej,el,*
net.minecraft.src.IWorldAccess,jr,ju,bl,bm,*
net.minecraft.src.KeyBinding,ka,kd,*,*,*
net.minecraft.src.LoadingScreenRenderer,hr,ht,*,*,*
net.minecraft.src.LogoEffectRandomizer,lm,lp,*,*,Stores random values for each block of the minecraft logo that is flying into the screen at start
net.minecraft.src.gen.MapGenBase,dj,dk,fc,fe,*
net.minecraft.src.gen.MapGenCaves,ls,lv,dy,dz,*
net.minecraft.src.gen.MapGenCavesHell,jq,jt,bk,bl,*
net.minecraft.src.Material,gy,ha,jt,jw,"Defines material properties for object, like if it can burn, ..."
net.minecraft.src.MaterialLiquid,lj,lm,dm,dn,*
net.minecraft.src.MaterialLogic,aa,aa,al,al,"net.minecraft.src.Material for objects with some kind of logik (growers, redstone circuits, ...)"
net.minecraft.src.MaterialTransparent,hd,hf,jy,kb,*
net.minecraft.src.helpers.MathHelper,fg,fh,hd,hf,*
net.minecraft.src.MCHashTable,gb,gd,ib,ie,*
MCHashTable2,*,*,fb,fd,*
net.minecraft.src.MetadataChunkBlock,lx,ma,ec,ee,stores if blocks in a chunk are solid (ground) or air
net.minecraft.src.MinecartTrackLogic,nx,oa,gx,gz,Logic for minecart tracks (looks like it was inner class to minecarttrack)
net.minecraft.client.Minecraft,net.minecraft.client.Minecraft,*,*,*,*
net.minecraft.client.MinecraftApplet,net.minecraft.client.MinecraftApplet,*,*,*,*
net.minecraft.src.MinecraftAppletImpl,i,i,*,*,*
net.minecraft.src.error.MinecraftError,pl,po,*,*,*
net.minecraft.src.error.MinecraftException,nk,nn,fw,fy,*
net.minecraft.src.MinecraftImpl,gg,gi,*,*,Implementation of the abstract class net.minecraft.client.Minecraft
MinecraftServer,*,*,MinecraftServer,*,*
net.minecraft.src.gen.MobSpawnerBase,gd,gf,ij,im,These are biomes not mob spawners (has info on the type of mobs to see in the biome though)
net.minecraft.src.gen.MobSpawnerDesert,dg,dh,fa,fc,*
net.minecraft.src.gen.MobSpawnerHell,k,k,p,p,*
net.minecraft.src.gen.MobSpawnerSwamp,mg,mj,eo,eq,*
net.minecraft.src.model.ModelBase,gj,gl,*,*,*
net.minecraft.src.model.ModelBiped,da,db,*,*,*
net.minecraft.src.model.ModelBoat,ct,cu,*,*,*
net.minecraft.src.model.ModelChicken,mf,mi,*,*,*
net.minecraft.src.model.ModelCow,ej,ek,*,*,*
net.minecraft.src.model.ModelCreeper,fe,ff,*,*,*
net.minecraft.src.model.ModelGhast,gz,hb,*,*,*
net.minecraft.src.model.ModelMinecart,ij,il,*,*,*
net.minecraft.src.model.ModelPig,ci,ci,*,*,*
net.minecraft.src.model.ModelQuadraped,ig,ii,*,*,*
net.minecraft.src.model.ModelRenderer,jw,jz,*,*,*
net.minecraft.src.model.ModelSheep1,cf,cf,*,*,*
net.minecraft.src.model.ModelSheep2,hx,hz,*,*,*
net.minecraft.src.model.ModelSkeleton,gr,gt,*,*,*
net.minecraft.src.model.ModelSlime,ih,ij,*,*,*
net.minecraft.src.model.ModelSpider,lh,lk,*,*,*
net.minecraft.src.model.ModelZombie,cj,cj,*,*,*
net.minecraft.src.MouseHelper,od,og,*,*,*
net.minecraft.src.MovementInput,ni,nl,*,*,*
net.minecraft.src.MovementInputFromOptions,hb,hd,*,*,*
net.minecraft.src.datatype.MovingObjectPosition,ns,nv,gm,go,Looks like its actually a RayTraceHit
net.minecraft.src.MusInputStream,ik,im,*,*,Decodes .mus files.
net.minecraft.src.nbt.NBTBase,fc,fc,hc,he,Base class of NBT tags
net.minecraft.src.nbt.NBTTagByte,kg,kj,bz,ca,*
net.minecraft.src.nbt.NBTTagByteArray,en,eo,gk,gm,*
net.minecraft.src.nbt.NBTTagCompound,in,ip,v,v,*
net.minecraft.src.nbt.NBTTagDouble,mc,mf,eg,ei,*
net.minecraft.src.nbt.NBTTagEnd,gu,gw,jk,jn,*
net.minecraft.src.nbt.NBTTagFloat,h,h,m,m,*
net.minecraft.src.nbt.NBTTagInt,ju,jx,bn,bo,*
net.minecraft.src.nbt.NBTTagList,lt,lw,ea,eb,*
net.minecraft.src.nbt.NBTTagLong,hn,hp,e,e,*
net.minecraft.src.nbt.NBTTagShort,ne,nh,fu,fw,*
net.minecraft.src.nbt.NBTTagString,ow,oz,ih,ik,*
net.minecraft.src.networking.NetClientHandler,hy,ia,*,*,Client network handler
net.minecraft.src.networking.NetHandler,mj,mm,ey,fa,Base class for network communication handling
NetLoginHandler,*,*,fo,fq,Server login handler (when clients connect)
NetServerHandler,*,*,je,jg,Server network handler (in the game)
NetworkAcceptThread,*,*,dg,dh,*
NetworkListenThread,*,*,dp,dq,*
net.minecraft.src.networking.NetworkManager,jm,jp,bh,bi,*
net.minecraft.src.networking.NetworkMasterThread,oz,pc,ik,in,*
net.minecraft.src.networking.NetworkReaderThread,pa,pd,im,ip,*
net.minecraft.src.networking.NetworkWriterThread,pc,pf,in,iq,*
net.minecraft.src.NextTickListEntry,km,kp,cj,ck,*
net.minecraft.src.NibbleArray,oj,om,ho,hr,Used to store a nibble (4bit) array of data for things like light maps and chunk data.
net.minecraft.src.noise.NoiseGenerator,bs,bs,co,cp,Base class for noise generators
net.minecraft.src.noise.NoiseGenerator2,aw,aw,bm,bn,Don't have proper name for it yet
net.minecraft.src.noise.NoiseGeneratorOctaves,na,nd,fn,fp,Layers multiple perlin noise
net.minecraft.src.noise.NoiseGeneratorOctaves2,nb,ne,fm,fo,Uses net.minecraft.src.noise.NoiseGenerator2 instead of old Perlin noise generator
net.minecraft.src.noise.NoiseGeneratorPerlin,z,z,ak,ak,Perlin noise generator
net.minecraft.src.OpenGlCapsChecker,bm,bm,*,*,Check OpenGL capabilities (only checks for occlusion query so far)
net.minecraft.src.OsMap,my,nb,*,*,*
net.minecraft.src.packet.Packet,gh,gj,io,ir,Base class and manager for network packets
net.minecraft.src.packet.Packet0KeepAlive,hi,hk,ke,kh,*
net.minecraft.src.packet.Packet10Flying,ey,ez,gz,hb,*
net.minecraft.src.packet.Packet11PlayerPosition,t,t,ae,ae,*
net.minecraft.src.packet.Packet12PlayerLook,nu,nx,gq,gs,*
net.minecraft.src.packet.Packet13PlayerLookMove,cp,cq,ed,ef,*
net.minecraft.src.packet.Packet14BlockDig,fz,gb,hz,ic,*
net.minecraft.src.packet.Packet15Place,eb,ec,fx,fz,*
net.minecraft.src.packet.Packet16BlockItemSwitch,eo,ep,gp,gr,*
Packet17AddToInventory,mo,mr,fd,ff,*
net.minecraft.src.packet.Packet18ArmAnimation,if,ih,q,q,*
net.minecraft.src.packet.Packet1Login,ir,it,ad,ad,*
net.minecraft.src.packet.Packet20NamedEntitySpawn,hp,hr,d,d,*
net.minecraft.src.packet.Packet21PickupSpawn,ia,ic,l,l,*
net.minecraft.src.packet.Packet22Collect,bu,bu,cq,cs,*
net.minecraft.src.packet.Packet23VehicleSpawn,lu,lx,dz,ea,*
net.minecraft.src.packet.Packet24MobSpawn,fs,fu,hq,ht,*
net.minecraft.src.packet.Packet255KickDisconnect,qd,qg,jr,ju,*
net.minecraft.src.packet.Packet28,dt,du,fq,fs,*
net.minecraft.src.packet.Packet29DestroyEntity,ld,lg,df,dg,*
net.minecraft.src.packet.Packet2Handshake,ht,hv,f,f,*
net.minecraft.src.packet.Packet30Entity,nc,nf,fp,fr,*
net.minecraft.src.packet.Packet31RelEntityMove,lz,mb,ef,eh,*
net.minecraft.src.packet.Packet32EntityLook,lg,lj,dj,dk,*
net.minecraft.src.packet.Packet33RelEntityMoveLook,jz,kc,bp,bq,*
net.minecraft.src.packet.Packet34EntityTeleport,ku,kx,cr,cr,*
net.minecraft.src.packet.Packet39,il,in,s,s,*
net.minecraft.src.packet.Packet3Chat,jn,jq,bg,bh,*
net.minecraft.src.packet.Packet4UpdateTime,ei,ej,gf,gh,*
net.minecraft.src.packet.Packet50PreChunk,ll,lo,dn,do,*
net.minecraft.src.packet.Packet51MapChunk,ch,ch,dl,dm,*
net.minecraft.src.packet.Packet52MultiBlockChange,oq,ot,ie,ih,*
net.minecraft.src.packet.Packet53BlockChange,ms,mv,fj,fl,*
Packet59ComplexEntity,pt,pw,jc,jf,*
net.minecraft.src.packet.Packet5PlayerInventory,p,p,u,u,*
net.minecraft.src.packet.Packet6SpawnPosition,kr,ku,cn,co,*
net.minecraft.src.packet.Packet7,a,a,a,a,*
net.minecraft.src.gui.PanelCrashReport,av,av,*,*,*
net.minecraft.src.Path,gt,gv,jh,jk,Maintains a sorted set of path points
net.minecraft.src.PathEntity,bt,bt,cp,cq,Result of the pathfinder processing; used to make an net.minecraft.src.entity.Entity follow a path
net.minecraft.src.Pathfinder,dk,dl,fe,fg,*
net.minecraft.src.PathPoint,b,b,b,b,A point on a path used for pathfinding
net.minecraft.src.player.PlayerController,is,iu,*,*,*
net.minecraft.src.player.PlayerControllerMP,pb,pe,*,*,*
net.minecraft.src.player.PlayerControllerSP,jd,jf,*,*,*
net.minecraft.src.player.PlayerControllerTest,jp,js,*,*,Not used in the game
PlayerInstance,*,*,aj,aj,An instance of a connected player
PlayerListBox,*,*,i,i,*
PlayerManager,*,*,ic,if,Manages a list of all connected players
PlayerNBTManager,*,*,cx,cy,*
net.minecraft.src.PositionTexureVertex,eu,ev,*,*,*
PropertyManager,*,*,dd,de,*
net.minecraft.src.recipe.RecipesArmor,o,o,*,*,*
net.minecraft.src.recipe.RecipesCrafting,gc,ge,*,*,*
net.minecraft.src.recipe.RecipesFood,it,iv,*,*,*
net.minecraft.src.recipe.RecipesIngots,mq,mt,*,*,*
